genus,specific_epithet,museum_id,genbank_id,river,side,
Leiolepis,belliana,LSUHC 4844,PP988006.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 4845,PP988005.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 4847,PP988004.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 4848,PP988003.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 4858,PP988002.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 6810,PP988001.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 6822,PP988000.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 6835,PP987999.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 7595,PP987998.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 8736,PP987997.1,Chao Phraya,W,
Leiolepis,belliana,LSUHC 9525,PP987996.1,Chao Phraya,W,
Leiolepis,belliana,Thai3,,Chao Phraya,W,
Leiolepis,belliana,LB-11,OR473014.1,Chao Phraya,W,
Leiolepis,belliana,LB-10,OR473013.1,Chao Phraya,E,
Leiolepis,belliana,LB-9,OR473012.1,Chao Phraya,E,
Leiolepis,belliana,LB-8,OR473011.1,Chao Phraya,W,
Leiolepis,belliana,LB-7,OR473010.1,Chao Phraya,E,
Leiolepis,belliana,LB-6,OR473009.1,Chao Phraya,E,
Leiolepis,belliana,LB-5,OR473008.1,Chao Phraya,E,
Leiolepis,belliana,LB-4,OR473007.1,Chao Phraya,E,
Leiolepis,belliana,LB-3,OR473006.1,Chao Phraya,E,
Leiolepis,belliana,LB-2,OR473005.1,Chao Phraya,E,
Leiolepis,belliana,LB-1,OR473004.1,Chao Phraya,E,
Leiolepis,belliana,MVZ 215497,U82689.1,Chao Phraya,W,
